Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
904,Sarawak Hydrogen Hub initiative - H2ornbill,MYS,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,,,,,,,,,,90 kt H2/y production ,649.3,144297.4,113,,144297,"[701] [2513][3328]
[2904]",Sarawak,1.55311,110.345032,,,,,
906,As Pontes power plant,ESP,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,100MW,100,22222,17.3,,22222,[706] [3096],As Pontes power plant,43.44132666,-7.863506592,,,,,
907,Green Hydrogen Esslingen (P2G2P),DEU,2021,,Operational,ALK,,Grid,,H2,,,,,,1,,1,,,,,,,0.5MW,0.5,109,0.1,,109,[711] [712] [1326],Esslingen,48.73108142,9.318047704,,,,,
910,Huelva - Endesa,ESP,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,,,,,,,,,,,100MW,100,22222,17.3,,22222,[713] [714] [3097],Huelva,37.26196388,-6.941284646,,,,,
911,Hidrogeno El Cierzo,ESP,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,,,,,,,,,,,7.2MW,7.2,1600,1.2,,1600,[713] [714],Random location Valle del Ebro,42.43745373,-2.291224272,,,,,
913,Teruel - Endesa,ESP,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,,,,,,,,,,,15 MW,15,3333,2.6,,3333,[713] [714],Teruel,40.34567887,-1.106389644,,,,,
914,Almeria - Endesa,ESP,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,,,,,,,,,,,50M W,50,11111,8.7,,11111,[713] [714],Almeria,36.83378055,-2.464670478,,,,,
915,Barranco de Tirajana - Endesa,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,7MW,7,1556,1.2,,1556,[713] [714],Barranco de Tirajana,27.87436765,-15.50667115,,,,,
916,Granadilla - Endesa,ESP,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,10MW,10,2222,1.7,,2222,[713] [714],Granadilla de Abona,28.12248879,-16.57559932,,,,,
918,"Green Crane, Asturias Hub, Phase I",ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,1,,,,,,,,,,5MW,5,1111,0.9,,1111,[319] [715] [729],Random location in Asturias,43.46473733,-5.946123062,,,,,
919,"Green Crane, Asturias Hub, Phase II",ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,1,,,,,,,,,,105MW,100,22222,17.3,,22222,[319] [715] [729],Random location in Asturias,43.46473733,-5.946123062,,,,,
920,"Hynet Northwest, phase 3",GBR,2030,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1,,,,1,1,1,1,,,,,,,30 TWh H2/y - 8.1Mt CO2/y,,1038941,810.0," 6,200,000 ",777334,"[300], [709] 2024 ref [3110]",Essar Stanlow refinery,53.27703121,-2.841869148,,,,,
921,Zero Emission Valley (ZEV) - Clermont Ferrand,FRA,2023,,Operational,ALK,,Grid,,H2,,,,,,1,,,,,,,,,2 MW,2,435,0.3,,435,[716] [866] [1690],"Clermont Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France",45.7761475,3.095197185,,,,,
922,Bahia H2 Offshore,ESP,2026,,Feasibility study,PEM,,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,,,,,,0,[717][3116],Port of Santander,43.43629906,-3.80398481,,,,,
924,KOGAN HYDROGEN DEMONSTRATION PROJECT,AUS,2025,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1,1,,,,,,,,1MW,1,192,0.1,,192,[719] [2208],"Kogan Creek power station, Brigalow",-26.914849,150.747104,,,,,
925,Masdar City green H2,ARE,,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Various,,,,,,1,,,,,,1,,,1000t H2/y,5.772,1283,1.0,,1283,[720] [903],Abu Dhabi,24.48524216,54.39272804,,,,,
926,Lysekil refinery (phase 1),SWE,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,1,,,,50MW,50,11111,8.7,,11111,[3143],Lysekil refinery,58.35063808,11.43600846,,,,,
927,"Uniper H2Maasvlakte, phase I",NLD,2028,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,100MW,100,19231,15.0,,19231,[723][2385],Maasvlakte Benelux Power Plant,51.96331544,4.022574088,,,,,
928,"Uniper H2Maasvlakte, phase II",NLD,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,500MW,400,88889,69.3,,88889,[723] [1662][2385],Maasvlakte Benelux Power Plant,51.96331544,4.022574088,,,,,
929,"Hydrogen Park Murray Valley, Victoria",AUS,2025,,FID/Construction,ALK,,Dedicated renewable,Others/Various,H2,,,,,,,,1,,,,,,,10MW,10,2174,1.7,,2174,[724] [910][2775],Wodonga,-36.11783047,146.8786478,,,,,
931,ORANGE.BAT Castellon,ESP,2028,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,100MW,100,21739,16.9,,21739,[726][3147],Castellon,39.98706356,-0.050294715,,,,,
932,Saras Sardinia refinery - IPCEI,ITA,2026,,Feasibility study,PEM,,Grid+Renewables,,H2,1,,,,,,,,,,,,,,20MW,20,3846,3.0,,3846,[727] [1676],Saras Sardinia refinery,39.08672306,9.022064688,,,,,
933,H2 Creteil,FRA,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,2.5MW,2.5,556,0.4,,556,[728],"Créteil, Val-de-Marne, Île-de-France, France",48.77887899,2.4368745,,,,,
934,SunLine Palms Springs,USA,2018,,Operational,PEM,,Other/Unknown,,H2,,,,,,1,,,,,,,,,2MW,2,385,0.3,,385,[73],Palms Springs,33.83353983,-116.5509007,,,,,
936,"Stegra (former, H2 Green Steel - H2GS)  - phase 1",SWE,2026,,FID/Construction,ALK,,Dedicated renewable,Hydropower,H2,,,,1,,,,,,,,,,,740MW - 2.5 Mt steel,740,160870,125.4,,160870,[735] [736][1400][1439] [2100],Boden,65.8289892,21.6904535,,,,,
937,"New York Science, Technology and Advanced Manufacturing Park",USA,2025,,FID/Construction,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1,,,,,,,,,120MW,120,23077,18.0,,23077,[738][1020][1136] [2229],"Alabama, NY",43.0964478,-78.3908559,,,,,
938,Abanto Technology Park,ESP,2023,,Operational,ALK,,Grid,,H2,1,,,,,1,,,,,,,,,2.5MW,2.5,543,0.4,3600,543,[739] [757],"Petronor Refinery, Muskiz",43.32559953,-3.113953019,,,,,
939,HyDeal Ambition,"ESP
FRA",2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,1,,,,,,,67GW,,,0.0,,0,[758],,,,,,,,
940,Boryeong LNG Terminal,KOR,2028,,Feasibility study,NG w CCUS,Unknown technology,,,H2,,,,,,,,,,,,,,,250 kt H2/y - 2 Mt CO2/,,320661,250.0,2000000,250753,"[741] [742]
End of 2022 ref [3056]",Boryeong,36.34719004,126.5462281,,,,,
941,Cavendish NextGen Hydrogen Hub ,USA,2023,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,1,,,,,,,,25MW,25,4808,3.7,,4808,[743],FPL Okeechobee Clean Energy Center,27.64358906,-80.78992526,,,,,
942,Refhyne II,DEU,2027,,FID/Construction,PEM,,Grid,,H2,1,,,,,,,,,,,,,,100MW,100,19231,15.0,,19231,[745] [746] [2290] [2602],Wesseling,50.86056156,6.980581616,,,,,
943,H2-Login,ESP,2022,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,6 kg H2/d,0.015,3,0.0,,3,[747] [1328][1583],"Illescas, Toledo",40.12213,-3.84704,,,,,
944,Gyeongnam Changwon Green Energy Center,KOR,2023,,DEMO,SOEC,,Dedicated renewable,Solar PV,H2,,,,,,,1,,,,,,,,125 KW,0.125,33,0.0,,33,[749],Changwon,35.21228303,128.6110091,,,,,
945,"Wilhelmshaven , phase 1",DEU,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,1,,,,,,,,,,,200MW,200,44444,34.7,,44444,"[750], [1270][2862]",Wilhelmshaven,53.52954064,8.1296932,,,,,
946,Sinopec Qilu Petrochemical CCS,CHN,2022,,Operational,Coal w CCUS,,N/A,N/A,H2,,1,,,,,,,,,,,,,1000kt CO2/y,,,,1000000,59845,[753] [953][998] [1327],Zibo city,36.83002722,118.1110954,,,,,
947,Karamay Dunhua Oil Technology CCUS EOR Project,CHN,2015,,Operational,Oil w CCUS,,N/A,N/A,MeOH,,,1,,,,,,,,,,,,100000t CO2/y,,,,100000,5985,[751],Karamay,45.58298539,84.89650728,,,,,
948,Great Plains Synfuel Plant and Weyburn-Midale,USA,2000,2025,Operational,Coal w CCUS,Coke gasification with CCUS,N/A,N/A,CH4,,,,,,,,,,,,,1,,3000000 t CO2/y,,,,3000000,179536,[753][1059],Beulah,47.26341678,-101.7969258,,,,,
949,Emirates Steel Industries - Al Reyadah CCUS,ARE,2016,,Operational,NG w CCUS,Unknown technology,,,H2,,,,1,,,,,,,,,,,800000 t CO2/y,,,,800000,100301,[752],Emirstes Steel,24.33491011,54.47101004,,,,,
950,Leeds Bradford Airport hub,GBR,,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,,1,,,,,,,,,,,,,,0,[756],Leeds Bradford Airport ,54.45186875,0.326742452,,,,,
951,Northwest Natural Holding synthetic methane plant,USA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,1,,2-10MW,10,2222,1.7,,2222,[759],,,,,,,,
952,Centre Point Energy Minnesota,USA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,1,,,,,,,,,,,,0,[760] [3144],Randome location in Minnesota,46.1502125,-93.21928646,,,,,
953,New Jersey Resources Howell,USA,2021,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,1,,,,,,,175 kW,0.175,39,0.0,,39,[761] [859] [1329],"Howell, New Jersey",40.151128,-74.213226,,,,,
954,Vantaa-Wartsila methanation,FIN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,CH4,,,,,,,,,,,,,1,,20MW,20,4444,3.5,,4444,[762] [763],Vantaa,60.29311854,25.03707856,,,,,
955,Proyecto INNA,CHL,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Others/Various,Ammonia,,1,,,,,,,,,,,,,1700MW,1700.000,377778,294.5,,377778,[764] [954][1266],Los Andes,-32.52304212,-70.68239248,,,,,
958,Huaneng Qingneng Institute demo plant,CHN,2020,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,,,,,,0,[767],,,,,,,,
959,CNNC HTGR P2G demo,CHN,2020,,DEMO,Other Electrolysis,Unknown PtX,Nuclear,N/A,H2,,,,1,,,,,,,,,,,0.1 Nm3 H2/h,0.000,0,0.0,,0,[769],,,,,,,,
960,CNNC 600MW HTGR P2G for steel,CHN,,,Concept,Other Electrolysis,Unknown PtX,Nuclear,N/A,H2,,,,1,,,,,,,,,,,50000m3 H2/h,225.000,50000,39.0,,50000,[769],,,,,,,,
961,"Datong City solar plant, phase 1",CHN,2026,,Feasibility study,ALK,,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,10MW,10,2174,1.7,,2174,[770] [836],Datong City,40.07828301,113.3081818,,,,,
962,EEW Raglan Project,AUS,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,320 MW,320,71111,55.4,,71111,[775] [1696][2834],Brisbane,-27.4717594,153.044312,,,,,
965,Puglia green hydro-gen valley - Taranto plant,ITA,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,1,1,,,1,,,,,,,100MW,100,22222,17.3,,22222,[778][2535][2536] [2584][3124],Taranto,40.4432173,17.2510137,,,,,
966,Saipem and Alboran Hydrogen (1 plant),MAR,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,,0,[778],,,,,,,,
967,Saipem and Alboran Hydrogen (1 plant),ALB,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,,0,[778],,,,,,,,
968,Optimal-ITM agreement,AUS,,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,,1,,,,,,,,0.7MW,0.7,135,0.1,,135,[780],,,,,,,,
970,Giga Stack - Green Hydrogen for Humberside,GBR,,,Concept,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,1GW,1000,192308,149.9,,192308,[782][3153],Humber region,53.67400642,-0.570627592,,,,,
971,HRS Gatwick airport,GBR,2019,2022,Decommisioned,PEM,,Grid,,H2,,,,,,1,,,,,,,,,,,,,,0,[783],Gatwick airport,51.16077441,-0.175151717,,,,,
972,4 projects of ITM in Australia,AUS,2018,,Operational,PEM,,Other/Unknown,,H2,,,,,,,,,,,,,,,4 x 0.25MW,1.000,192,0.1,,192,[785] [786],,,,,,,,
973,HRS Swindon,GBR,2018,,Operational,PEM,,Grid,,H2,,,,,,1,,,,,,,,,,,,,,0,[787],Swindon,51.55934334,-1.782009364,,,,,
974,HRS Beaconsfield,GBR,2018,2022,Decommisioned,PEM,,Grid,,H2,,,,,,1,,,,,,,,,,,,,,0,[788],Beaconsfield,51.60438472,-0.647719826,,,,,
975,QEM Julia Creek - Queensland,AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,1,,,,,,,,,,,,,,,,,,,0,[789],Julia creek,-23.84020759,151.0473419,,,,,
976,Rafnes chemical plants (Aquarius),NOR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,20 MW,20,4444,3.5,,4444,[790][1152],Rafnes chemical plants,59.13562846,9.628247706,,,,,
977,Synkero synfuels project,NLD,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Synfuels,,,,,,,,,,,,1,,,100MW,100,22222,17.3,,22222,[791][1448],Port of Amsterdan,52.36610168,5.034774033,,,,,
978,Zenid Initiative,NLD,2026,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,Synfuels,,,,,,,,,,,,1,,,280 t synfuels/y capacity,1.865,415,0.3,,415,[791],Rotterdam,51.95638511,4.420221321,,,,,
979,H2Teesside 1st phase,GBR,2027,,Feasibility study,NG w CCUS,GHR-ATR,,,H2,,,,,1,,,,1,,,,,,600MW - 1 million t CO2/y,,160112,124.8,1000000,125376,[792] [1390][2966],Random location in Teesside,54.55239212,-1.311916181,,,,,
980,H2Teesside 2nd phase,GBR,2030,,Feasibility study,NG w CCUS,GHR-ATR,,,H2,,,,,,,,,,,,,,,1.2GW - 2 million t CO2/y,,224157,174.8,1000000,125376,[792] [1390] 2025 ref [3057],Random location in Teesside,54.55239212,-1.311916181,,,,,
981,ITM-Sumitomo Coorp,JPN,2024,,Operational,PEM,,Other/Unknown,,H2,,,,,,,,,,,,1,,,2 MW,2,385,0.3,,385,[793] [1330] [2384],Yokohama,35.443707,139.638031,,,,,
982,"PT Panca Amara Utama (PAU) Banggai ammonia plant, Luwuk Central Sulawesi",IDN,,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1,,,,,,,,,,,,,660kt NH3,,,,,0,[794],Luwuk,-0.938827956,122.7925004,,,,,
984,"Barents Blue ammonia plant, phase 1",NOR,2030,,Feasibility study,NG w CCUS,ATR+CCUS,,,Ammonia,,1,,,,,,,,,,,,,1Mt NH3/y - 2 Mt CO2/y,,230968,180.1,2000000,250753,"[797][798][799][944][1100], Platts European Gas Daily 17-08-2021 [2352] 2025 ref [3058]",Markoppneset,70.4799,24.2633,,,,,
985,"Hysencia, Phase II",ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,,,,,,200MW,160,35556,27.7,,35556,[560] [800][3154],Aragon,41.53512385,-0.891003208,,,,,
986,Renewstable,BRB,,,Feasibility study,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,1,,,,,,,,600 tonsH2/y (production),13.339,2565,2.0,,2565,[1290] [2294],Barbados,13.18594857,-59.55988857,,,,,
987,Centrale Electrique de l’Ouest Guyanais (CEOG),FRA,2026,,FID/Construction,ALK,,Dedicated renewable,Solar PV,H2,,,,,,,1,,,,,,,,16MW,16,3478,2.7,,3478,"[862][1089][1153], Platts European Gas Daily 01-10-2021",French Guiana,5.6687327,-53.7784043,,,,,
988,NewGen,TTO,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Unknown,H2,,1,,1,,,,,,,,,,,2.2 tonsH2/h (production),158.909,35313,27.5,,35313,[806][3047],"Point Lisas, Trinidad",10.40844496,-61.49237173,,,,,
990,Outaouais Hydrogen Production and Blending,CAN,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,Hydropower,H2,,,,,,1,,1,,,,,,,20MW,20,4444,3.5,,4444,[803],,,,,,,,
991,Bangladesh Council of Scientific and Industrial Research demo,BGD,2020,,DEMO,Biomass,,,,H2,,,,,,,,,,,,,,,,,,,,0,[804],,,,,,,,
992,Port of Pecem - Base One,BRA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,,,,,,,,,,600 kt H2/y capacity,3463.137,769586,600.0,,769586,[805],Port of Pecem/Ceará State,-3.530928034,-38.79237746,,,,,
993,Aquamarine,HUN,2023,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,,1,,,,,,,,2MW,2,385,0.3,,385,[807] [1685],Kardoskut,46.4966066,20.7015134,,,,,
1000,Prince George refinery,CAN,2023,,Operational,Biomass,,,,H2,1,,,,,,,,,,1,,,,10 million cubic feet H2/d,,11792,9.2,,11792,[818][2230] [2339],Prince George refinery,53.92702726,-122.6941359,,,,,
1001,Science Parks of Tainan and Hsinchu,TWN,2021,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,,,,,,,,,,25MW,25,5556,4.3,,5556,[819][1594],Tainan Technology Industrial Park,23.04822731,120.1520254,,,,,
1002,SeaH2Land,NLD,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1,1,1,1,1,,,,,,,,,,1GW,,,0.0,,0,[820] [1662] [2777],,,,,,,,
1003,HRS Bremervörde - trains,DEU,2022,,Operational,PEM,,Other/Unknown,,H2,,,,,,1,,,,,,,,,1.6 t H2/d,3.895,749,0.6,,749,[821] [1608],Bremervörde,53.48853771,9.132394116,,,,,
1004,ArcelorMittal Bremen - HyBit,DEU,2025,,FID/Construction,PEM,,Other/Unknown,,H2,,,,1,,,,,,,,,,,10 MW,10,1923,1.5,,1923,[822][1742],ArcelorMittal Bremen,53.13738179,8.693899524,,,,,
1005,Rossello paper factory,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1,1,,,,,,,,,,,,,,0,[823][3156],Rossello,41.69389819,0.594861638,,,,,
1006,DG Fuels,USA,2028,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,,,,,,,1,,,839 MW,839,182391,142.2,,182391,[824][2405],"St. James Parish, Louisiana",30.03457721,-90.77547675,,,,,
1007,Energía Los Cabos,MEX,,,Feasibility study,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,1,,,,,,,,1400 tonsH2/y (production),31.1,5986,5,,5986,[915],Los Cabos,23.07476916,-109.5841413,,,,,
1008,GICON - Vietnam Petroleum Institute MoU,VNM,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,,,,,,0,[825],,,,,,,,
1009,Heritage Gas - Ottawa,CAN,,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,1,,,,,,,,,,,,0,[826],Ottawa,45.433152,-75.72896533,,,,,
1012,Yanqing Hydrogen Energy Industrial Park,CHN,2023,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,2.8t H2/d,6.816,1311,1.0,,1311,[874] [875] [876] [1634] [1698],Yanqing,40.51381489,116.1215243,,,,,
1013,Cangzhou Bohai New District Hydrogen,CHN,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,,0,[831],Cangzhou ,38.31669838,116.8406296,,,,,
1015,Hydrogen Energy Equipment Industrial Cluster Project in Handan Economic and Technological Development Zone,CHN,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,1,,,,,,,,,,0,[831],Handan Economic and Technological Development Zone,32.31093286,120.3803025,,,,,
1016,Zhangjiakou Yangyuan Jingxi New Energy Base Project,CHN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,,,,,0,[831],Zhangjiakou,40.7861058,114.8468786,,,,,
1017,CGN Baicheng Hydrogen Production Project - Jilin,CHN,2023,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,50 Nm3 H2/h,0.225,50,0.0,,50,[832],Jilin,43.81421046,126.4666924,,,,,
1021,"Datong City solar plant, phase 2",CHN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,50MW,40,8889,6.9,,8889,[770] [836],Datong City,40.07828301,113.3081818,,,,,
1022,H2Pioneer - H2 Carinthia,AUT,2023,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,2MW,2,385,0.3,,385,[837][1061],Infineon's Villach site,46.59498321,13.85629418,,,,,
1023,WIVA P&G Hydrogen Region,AUT,,,Feasibility study,Other Electrolysis,PEM & SOEC,Dedicated renewable,Others/Various,H2,,,,,,1,1,1,,,,,,,10t H2/d,21.067,4682,3.7,,4682,[838],,,,,,,,
1026,Matra power pant,HUN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,,,,,,0,[845][3157],Matra power pLant,47.78937995,20.06821279,,,,,
1027,"Konin Power Plant, phase 1 - ZE PAK",POL,2024,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,2.5MW,2.5,481,0.4,,481,"[846], Platts European Gas Daily 23-07-2021, [1635][2864]",Konin Power Plant,52.2875093,18.2839037,,,,,
1028,Project AIR (Perstorp - Stenungsund),SWE,2027,,Feasibility study,ALK,,Dedicated renewable,Onshore wind,MeOH,,,1,,,,,,,,,,,,30 MW - 50kt MeOH/y,25,5435,4.2,,5435,[847] [1363][1437][1899][2865],Stenungsund,58.08020554,11.81807075,,,,,
1029,Reichenau power plant,CHE,2024,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,1,,,,,,,,,2.5MW,2.5,556,0.4,,556,[1645][2413],Reichenau power plant,47.5602883,7.629416874,,,,,
1030,Steklarna Hrastnik glass manufactuing plant,SVN,2021,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,0.15MW,0.15,33,0.0,,33,[848],Steklarna Hrastnik glass manufactuing plant,46.12903202,15.09450548,,,,,
1032,Solar Global group headquarters,CZE,,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,,,,,,,,,,,,,,,0,[842],,,,,,,,
1033,Greening of Gas (GoG) - Net4Gas DEMO,CZE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,,,50m3 CH4/h,0.450,100,0.1,,100,[843] [853][3158],,,,,,,,
1034,Lingen Green Hydrogen (LGH2) Phase 2,DEU,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,1,,,,,,,,,,,1,,,500MW,400,88889,69.3,,88889,"[272][638], Platts European Gas Daily 08-12-2021",Lingen BP Refinery,52.55860477,7.310193321,,,,,
1035,HyMAT SH,DEU,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,10MW,10,2222,1.7,,2222,[844] [2399],Random location in Germany,52.77515846,10.81393362,,,,,
1036,We-4-PUR,DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,25MW,25,5556,4.3,,5556,[844],Random location in Germany,53.75760011,11.83995957,,,,,
1037,H2 in the Ketzin energy transition laborator,DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,1,,,,,,,2MW,2,444,0.3,,444,[844],Ketzin,52.48790222,12.85476307,,,,,
1038,Green Energy Hub Helmstedt,DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,20MW,20,4444,3.5,,4444,[844],Helmstedt,52.22832664,11.0043476,,,,,
1039,Speicherstadt Kerpen,DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,1,,,1,,,,,,,,,,0,[844],,,,,,,,
1041,SLOP2G Project,SVN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,1,,,,,,,0,[849],,,,,,,,
1042,Thermal Power Plant Sostanj,SVN,2000,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,0.1MW,0.1,22,0.0,,22,,Thermal Power Plant Sostanj,46.3746747,15.05297235,,,,,
1043,TPJ Jesenice,SVN,2000,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,0.35MW,0.35,78,0.1,,78,,,,,,,,,
1044,H2MUCTYNIC,SVK,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1,,,1,,,,,,,,,,20MW,20.000,4444,3.5,,4444,[2401],,,,,,,,
1045,"Dolphyn 1, phase 1",GBR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,10MW,10,2222,1.7,,2222,[850] [2366],15 km Southeast Aberdeen,57.06520831,-1.89828763,,,,,
1046,"Dolphyn 1, phase 2",GBR,2032,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,100MW,90,20000,15.6,,20000,[850] [2366],15 km Southeast Aberdeen,57.06520831,-1.89828763,,,,,
1048,"Humber H2ub (Green), phase 1",GBR,2029,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,1,,,,,,,,,,,,,,120 MW,120,23077,18.0,,23077,[852][2674],Killingholme Power Station,53.65480155,-0.254668893,,,,,
